corridor,net_link_id,lanes,miles,C_vphpl,C_veh_per_h,D_veh_per_lane,D_veh_total,D_over_C_h,V_veh_total,free_speed_mph,cutoff_mph,congested,P_h,t0_clock,T2_clock,t3_clock,vT2_mph,recovery_over_onset,speed_mae_episode_mph,speed_rmse_episode_mph,note
I-66 WB,31350,2,0.547911,2200.0,4400.0,7808.228529778589,15616.457059557179,3.549194786262995,15616.457059557179,66.07877777777777,46.25514444444444,True,5.751211996388888,13:13,17:15,18:58,25.475333333333335,0.42834265914670505,1.85836110347529,2.2512046970491055,"episode runs past the PM window, as most do"
I-66 WB,31404,2,0.578458,2200.0,4400.0,5899.393778714702,11798.787557429405,2.681542626688501,11798.787557429405,66.30013888888888,46.41009722222221,True,5.535120181666667,14:12,18:00,19:44,12.44,0.4572098393127667,3.1619523772076206,5.2956736050080995,"episode runs past the PM window, as most do"
I-66 WB,31416,2,4.167976,2200.0,4400.0,6656.123984331753,13312.247968663505,3.0255109019689783,16603.97626835284,67.71938888888889,47.403572222222216,True,3.658862978888889,15:43,18:00,19:22,26.97533333333334,0.6060029431429166,1.5029171885031565,1.9575069036705957,
I-66 WB,31999,4,1.729679,2200.0,8800.0,7237.5375664991725,28950.15026599669,3.2897898029541692,31122.3812741113,67.4448888888889,47.211422222222225,False,0.0,,,,,,,,
I-66 WB,32029,4,1.332622,2200.0,8800.0,7744.806306595009,30979.225226380036,3.5203665029977316,30979.225226380036,67.14961111111111,47.004727777777774,True,6.136824286111111,13:12,15:30,19:21,27.377333333333336,1.6843322642325969,4.137121239401555,5.905684692072605,"episode runs past the PM window, as most do"
I-66 WB,32031,4,0.688515,2200.0,8800.0,8548.804760947449,34195.219043789795,3.885820345885204,34195.219043789795,66.58772222222223,46.61140555555556,True,5.858907506666667,13:27,18:15,19:18,36.312444444444445,0.22089917423731462,1.8632437504581842,2.3021194242491823,"episode runs past the PM window, as most do"
I-66 WB,32032,4,1.295447,2200.0,8800.0,0.0,0.0,0.0,34889.88569251982,65.77038888888889,46.039272222222216,False,0.0,,,,,,,,
I-66 WB,32037,4,1.067945,2200.0,8800.0,5697.56205079817,22790.24820319268,2.5898009321809865,33559.29833757905,67.13561111111112,46.99492777777778,True,3.1306199738888894,15:02,16:15,18:10,29.77333333333334,1.6046483711161361,1.4130849564041883,1.6422426023155616,
I-66 WB,32038,5,0.798703,2200.0,11000.0,7577.474514372933,37887.37257186467,3.4443065974422424,40634.96356101487,66.42075,46.494524999999996,True,3.805562691388889,14:59,17:30,18:47,27.075999999999993,0.5181678186053673,2.9019837364974697,3.8829938895824645,
I-66 WB,32044,3,0.488674,2200.0,6600.0,6510.274337915243,19530.82301374573,2.9592156081432925,19530.82301374573,67.565,47.2955,True,5.556759407222222,14:14,18:00,19:47,14.418000000000001,0.4755049690078423,2.4741998508724583,3.3999580108721026,"episode runs past the PM window, as most do"
I-66 WB,32846,2,1.425584,2200.0,4400.0,6976.261929824438,13952.523859648876,3.171028149920199,13952.523859648876,67.29283333333333,47.10498333333333,True,4.687905309444445,14:35,18:00,19:16,18.10377777777778,0.3744672155152459,3.8035358660797733,5.572494496660723,"episode runs past the PM window, as most do"
I-66 WB,35781,2,0.5476380000000001,2200.0,4400.0,7588.206479303505,15176.41295860701,3.449184763319775,15176.41295860701,65.6123221640526,45.92862551483682,True,6.153379681944444,13:04,15:45,19:13,23.92590938657071,1.3006693141357069,3.1000293439444397,4.323317352838542,"episode runs past the PM window, as most do"
