tmc_code,measurement_tstamp,speed,reference_speed,date,tod_min,clock_min,timestamp,period,wall_clock
110-04178,2025-10-08 18:50:00,36.92,62.0,2025-10-08,1130,1130,2025-10-08 18:50:00-04:00,PM,18:50
110-04178,2025-10-08 18:55:00,52.88,62.0,2025-10-08,1135,1135,2025-10-08 18:55:00-04:00,PM,18:55
110-04178,2025-10-08 19:00:00,55.93,62.0,2025-10-08,1140,1140,2025-10-08 19:00:00-04:00,NT,19:00
110-04178,2025-10-08 19:05:00,59.93,62.0,2025-10-08,1145,1145,2025-10-08 19:05:00-04:00,NT,19:05
110-04178,2025-10-08 19:10:00,60.38,62.0,2025-10-08,1150,1150,2025-10-08 19:10:00-04:00,NT,19:10
110-04178,2025-10-08 19:15:00,58.19,62.0,2025-10-08,1155,1155,2025-10-08 19:15:00-04:00,NT,19:15
110-04178,2025-10-08 19:20:00,59.19,62.0,2025-10-08,1160,1160,2025-10-08 19:20:00-04:00,NT,19:20
110-04178,2025-10-08 19:25:00,57.75,62.0,2025-10-08,1165,1165,2025-10-08 19:25:00-04:00,NT,19:25
110-04178,2025-10-08 19:30:00,59.5,62.0,2025-10-08,1170,1170,2025-10-08 19:30:00-04:00,NT,19:30
110-04178,2025-10-08 19:35:00,59.15,62.0,2025-10-08,1175,1175,2025-10-08 19:35:00-04:00,NT,19:35
110-04178,2025-10-08 19:40:00,59.95,62.0,2025-10-08,1180,1180,2025-10-08 19:40:00-04:00,NT,19:40
110-04178,2025-10-08 19:45:00,59.72,62.0,2025-10-08,1185,1185,2025-10-08 19:45:00-04:00,NT,19:45
110-04178,2025-10-08 19:50:00,60.34,62.0,2025-10-08,1190,1190,2025-10-08 19:50:00-04:00,NT,19:50
110-04178,2025-10-08 19:55:00,57.18,62.0,2025-10-08,1195,1195,2025-10-08 19:55:00-04:00,NT,19:55
110-04178,2025-10-08 20:00:00,63.95,62.0,2025-10-08,1200,1200,2025-10-08 20:00:00-04:00,NT,20:00
110-04178,2025-10-08 20:05:00,56.99,62.0,2025-10-08,1205,1205,2025-10-08 20:05:00-04:00,NT,20:05
110-04178,2025-10-08 20:10:00,60.36,62.0,2025-10-08,1210,1210,2025-10-08 20:10:00-04:00,NT,20:10
110-04178,2025-10-08 20:15:00,62.19,62.0,2025-10-08,1215,1215,2025-10-08 20:15:00-04:00,NT,20:15
110-04178,2025-10-08 20:20:00,62.0,62.0,2025-10-08,1220,1220,2025-10-08 20:20:00-04:00,NT,20:20
110-04178,2025-10-08 20:25:00,62.18,62.0,2025-10-08,1225,1225,2025-10-08 20:25:00-04:00,NT,20:25
110-04178,2025-10-08 20:30:00,60.75,62.0,2025-10-08,1230,1230,2025-10-08 20:30:00-04:00,NT,20:30
110-04178,2025-10-08 20:35:00,59.14,62.0,2025-10-08,1235,1235,2025-10-08 20:35:00-04:00,NT,20:35
110-04178,2025-10-08 20:40:00,64.19,62.0,2025-10-08,1240,1240,2025-10-08 20:40:00-04:00,NT,20:40
