link_id,corridor,tmc_code,lanes,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue
32038,I66_WB,110P04181,5,22.640867552749114,23.353980447921103,0.9694650384433516,0.0,0.0,0.0,230.0,0.09843855457717006,0,12,22.640867552749114,2.2810288028802725,4.747667354152394,True
32041,I66_WB,110-58629,3,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,0,0,0.0,0.0,,False
32042,I66_WB,110N58629,4,0.0,0.0,,0.0,0.0,0.0,112.0,0.0,0,0,0.0,0.0,,False
32044,I66_WB,110-58628,3,0.0,0.0,,0.0,0.0,0.0,294.0,0.0,0,0,0.0,0.0,,False
32045,I66_WB,110-58628,3,0.0,0.0,,0.0,0.0,0.0,150.0,0.0,0,0,0.0,0.0,,False
32130,I66_WB,110+04174,2,0.0,0.0,,0.0,0.0,0.0,32.0,0.0,0,0,0.0,0.0,,False
32133,I66_WB,110+04173,4,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False
32134,I66_WB,110P04173,4,0.0,0.0,,0.0,0.0,0.0,136.0,0.0,0,0,0.0,0.0,,False
32136,I66_WB,110+04174,2,0.0,0.0,,0.0,0.0,0.0,124.0,0.0,0,0,0.0,0.0,,False
32140,I66_WB,110+04173,4,0.0,0.0,,0.0,0.0,0.0,120.0,0.0,0,0,0.0,0.0,,False
32141,I395_NB,110+04122,4,0.0,0.0,,0.0,0.0,0.0,304.0,0.0,0,0,0.0,0.0,,False
32367,I66_EB,110+58629,3,0.0,0.0,,0.0,0.0,0.0,234.0,0.0,0,0,0.0,0.0,,False
32368,I66_WB,110-58628,3,0.0,0.0,,0.0,0.0,0.0,102.0,0.0,0,0,0.0,0.0,,False
32369,I66_WB,110-58628,3,0.0,0.0,,0.0,0.0,0.0,306.0,0.0,0,0,0.0,0.0,,False
32370,I66_EB,110+58629,3,0.0,0.0,,0.0,0.0,0.0,102.0,0.0,0,0,0.0,0.0,,False
32551,I66_WB,110P04174,2,0.0,0.0,,0.0,0.0,0.0,196.0,0.0,0,0,0.0,0.0,,False
32552,I66_WB,110+04175,2,0.0,0.0,,0.0,0.0,0.0,260.0,0.0,0,0,0.0,0.0,,False
32573,I66_WB,110P04175,2,0.0,0.0,,0.0,0.0,0.0,280.0,0.0,0,0,0.0,0.0,,False
32581,I395_NB,110P04120,3,162.82719558895246,171.0394679939617,0.9519860971194136,96.46728028419307,0.0,27.33876954357561,408.0,0.3990862636984129,0,30,307.4685478839683,7.809463037540095,10.114443636899718,True
32590,I395_SB,110N04120,3,0.0,0.0,,0.0,0.0,0.0,420.0,0.0,0,15,0.0,0.0,,False
32611,I395_SB,110N04121,4,0.0,0.0,,0.0,0.0,0.0,344.0,0.0,0,0,0.0,0.0,,False
32616,I395_SB,110-04121,4,0.0,0.0,,0.0,0.0,0.0,256.0,0.0,0,0,0.0,0.0,,False
32619,I395_SB,110-04121,4,0.0,0.0,,0.0,0.0,0.0,240.0,0.0,0,0,0.0,0.0,,False
32622,I395_NB,110+04122,4,0.0,0.0,,0.0,0.0,0.0,296.0,0.0,0,0,0.0,0.0,,False
32624,I395_SB,110N04122,4,0.0,0.0,,0.0,0.0,0.0,264.0,0.0,0,0,0.0,0.0,,False
32627,I395_SB,110-04121,4,0.0,0.0,,0.0,0.0,0.0,376.0,0.0,0,0,0.0,0.0,,False
32843,I66_EB,110+58630,5,0.0,0.0,,0.0,0.0,0.0,230.0,0.0,0,0,0.0,0.0,,False
32847,I66_WB,110-58629,1,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,,False
32848,I66_WB,110-58629,5,0.0,0.0,,0.0,0.0,0.0,970.0,0.0,0,0,0.0,0.0,,False
32854,I66_WB,110N58631,2,0.0,0.0,,0.0,0.0,0.0,88.0,0.0,0,0,0.0,0.0,,False
32866,I66_EB,110N04182,2,0.0,0.0,,0.0,0.0,0.0,180.0,0.0,0,0,0.0,0.0,,False
32867,I66_WB,110P04182,2,44.26942205002831,44.45933704238272,0.9957283440332597,0.0,20.472901315386025,18.038770185425165,180.0,0.2459412336112684,0,17,44.26942205002831,1.8884583711561693,3.3028178790654987,True
32868,I66_WB,110+04182,5,55.68773238755375,56.28472273634961,0.9893933856333931,0.0,0.0,0.13850543567832574,390.0,0.14278905740398398,0,15,55.68773238755375,3.756051288010343,6.993295468798782,True
32869,I66_EB,110N04181,5,0.0,0.0,,0.0,0.0,0.0,390.0,0.0,0,0,0.0,0.0,,False
35757,I66_WB,110-58629,4,0.0,0.0,,0.0,0.0,0.0,368.0,0.0,0,0,0.0,0.0,,False
35760,I66_EB,110-04181,1,0.0,0.0,,0.0,0.0,0.0,56.00000000000001,0.0,0,0,0.0,0.0,,False
35765,I66_WB,110N58631,2,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0,0,0.0,0.0,,False
35779,I66_EB,110N04176,2,0.0,0.0,,0.0,0.0,0.0,476.0,0.0,0,0,0.0,0.0,,False
35786,I66_WB,110+04181,4,0.0,0.0,,0.0,0.0,0.0,256.0,0.0,0,0,0.0,0.0,,False
35787,I66_EB,110N04180,4,60.190950969416235,58.538160750359005,1.0282344063747697,42.87142677991824,0.0,0.0,280.0,0.2149676820336294,0,13,60.190950969416235,2.73361507847251,5.2683548032238,True
38163,I66_EB,110+58628,3,0.0,0.0,,0.0,0.0,0.0,270.0,0.0,0,0,0.0,0.0,,False
38167,I66_EB,110+58628,3,0.0,0.0,,0.0,0.0,0.0,210.0,0.0,0,0,0.0,0.0,,False
38189,I66_EB,110P58625,3,0.0,0.0,,0.0,0.0,0.0,72.0,0.0,0,0,0.0,0.0,,False
38500,I66_EB,110+58626,4,0.0,0.0,,0.0,0.0,0.0,200.0,0.0,0,0,0.0,0.0,,False
38749,I66_WB,110-58627,3,0.0,0.0,,0.0,0.0,0.0,282.0,0.0,0,0,0.0,0.0,,False
38801,I66_WB,110-58627,3,0.0,0.0,,0.0,0.0,0.0,234.0,0.0,0,0,0.0,0.0,,False
