link_id,corridor,episode_id,t0_min,T2_min,t3_min,P_h,period_by_T2,vT2_mph,bins,lanes,free_speed_mph,cutoff_mph,mu_free_vphpl,mu_queued_vphpl,mu_free_vph,mu_queued_vph,capacity_drop
26501,I395_NB,E1,371.14390826666664,1050.0,1235.1132815833334,14.399489555277777,PM,9.428985507246376,58,3,52.70299999999998,36.892099999999985,1900.0,1644.3468589840406,5700.0,4933.040576952122,0.13455428474524178
26699,I395_SB,E1,897.1820547666666,1005.0,1132.2480757833332,3.9177670169444445,PM,21.192318840579706,16,3,60.8665,42.60655,1900.0,1612.51712078203,5700.0,4837.55136234609,0.15130677853577368
26756,I395_NB,E1,400.49127123333335,480.0,563.2780871833334,2.713113599166667,AM,36.026811594202904,11,4,67.23,47.061,1900.0,1854.0659847679224,7600.0,7416.2639390716895,0.024175797490567197
26759,I395_SB,E1,901.2669475333333,945.0,1115.0727488666666,3.563430022222222,PM,29.326666666666668,14,4,62.2265,43.55855,1900.0,1825.2821003645554,7600.0,7301.128401458222,0.03932521033444458
26764,I395_SB,E1,903.4074311,1050.0,1121.8552302833334,3.6407966530555553,PM,29.523623188405793,14,4,61.763000000000005,43.2341,1900.0,1777.2799243232541,7600.0,7109.1196972930165,0.06458951351407682
26772,I395_SB,E1,905.9613655833333,1050.0,1120.1400634166666,3.569644963888889,PM,29.044057971014492,14,4,63.78,44.646,1900.0,1742.270544851324,7600.0,6969.082179405296,0.08301550270982938
26776,I395_SB,E1,905.9613655833333,1050.0,1120.1400634166666,3.569644963888889,PM,29.044057971014492,14,4,63.78,44.646,1900.0,1742.270544851324,7600.0,6969.082179405296,0.08301550270982938
26781,I395_SB,E1,900.45145145,975.0,1125.9300093166667,3.757975964444444,PM,29.63536231884058,15,4,65.3565,45.74954999999999,1900.0,1735.1910034999871,7600.0,6940.7640139999485,0.08674157710526997
26788,I395_SB,E1,881.2733876666666,960.0,1136.25099045,4.249626713055555,PM,29.140869565217386,17,4,65.73,46.011,1900.0,1735.1676298272064,7600.0,6940.6705193088255,0.08675387903831244
26792,I395_SB,E1,881.2733876666666,960.0,1136.25099045,4.249626713055555,PM,29.140869565217386,17,4,65.73,46.011,1900.0,1735.1676298272064,7600.0,6940.6705193088255,0.08675387903831244
