corridor,link_id,period,bins,bins_below_cutoff,free_speed_mph,capacity_vph,D_counts,D_speed,V_counts,V_speed,V_err,D_err
D12_I5_N,L5N-147,AM,36,0,70.60108808290154,7558.971917098445,0.0,0.0,17592.10880829015,17094.563239491843,-2.828231533924141,
D12_I5_N,L5N-147,MD,72,0,70.60108808290154,7558.971917098445,0.0,0.0,36621.886010362694,41265.54859455975,12.680020310486087,
D12_I5_N,L5N-147,PM,48,0,70.60108808290154,7558.971917098445,0.0,0.0,28690.056994818653,27430.729869276187,-4.3894200899283575,
D12_I5_N,L5N-147,NT,132,0,70.60108808290154,7558.971917098445,0.0,0.0,38235.044602318245,41378.76944114251,8.222103234145719,
D12_I5_N,L5N-148,AM,36,0,67.7932512953368,7124.545025906736,0.0,0.0,15661.971502590677,16254.72042356636,3.7846379740739184,
D12_I5_N,L5N-148,MD,72,0,67.7932512953368,7124.545025906736,0.0,0.0,34083.01813471502,39351.97863726551,15.459195784025425,
D12_I5_N,L5N-148,PM,48,0,67.7932512953368,7124.545025906736,0.0,0.0,27274.15284974093,27669.8715160163,1.450892603174397,
D12_I5_N,L5N-148,NT,132,0,67.7932512953368,7124.545025906736,0.0,0.0,36852.32808076491,40993.71500149086,11.237789134107777,
D12_I5_N,L5N-152,AM,36,0,71.28137305699481,7718.171813471502,0.0,0.0,16965.450777202073,16822.256322494162,-0.8440356615830903,
D12_I5_N,L5N-152,MD,72,0,71.28137305699481,7718.171813471502,0.0,0.0,36627.13989637306,41713.123002575376,13.885831983037109,
D12_I5_N,L5N-152,PM,48,0,71.28137305699481,7718.171813471502,0.0,0.0,29488.647668393784,29003.297133178487,-1.6458894306485963,
D12_I5_N,L5N-152,NT,132,0,71.28137305699481,7718.171813471502,0.0,0.0,38047.067571176754,43305.22980590548,13.820151119115796,
D12_I5_N,L5N-155,AM,36,0,65.45373711340203,8578.3607253886,0.0,0.0,22674.829015544037,23231.699339508174,2.4558964637942404,
D12_I5_N,L5N-155,MD,72,0,65.45373711340203,8578.3607253886,0.0,0.0,45306.51813471502,49944.56416783759,10.237039225419487,
D12_I5_N,L5N-155,PM,48,0,65.45373711340203,8578.3607253886,0.0,0.0,29842.766839378237,33850.67425244904,13.430079840258896,
D12_I5_N,L5N-155,NT,132,0,65.45373711340203,8578.3607253886,0.0,0.0,37877.56380535228,58639.86540143305,54.81424756559176,
D12_I5_N,L5N-157,AM,36,0,70.1435055552588,7761.096062176166,0.0,0.0,20129.04663212435,20467.169406088935,1.6797754019058548,
D12_I5_N,L5N-157,MD,72,0,70.1435055552588,7761.096062176166,0.0,0.0,39732.26943005181,44981.32212804312,13.211056839409085,
D12_I5_N,L5N-157,PM,48,45,70.1435055552588,7761.096062176166,22141.720207253886,28992.09686894223,23696.704663212433,30932.215237679928,30.533826020544307,30.93877348989389
D12_I5_N,L5N-157,NT,132,0,70.1435055552588,7761.096062176166,0.0,0.0,31712.78489396934,46679.68189713601,47.19515190232584,
D12_I5_N,L5N-158,AM,36,0,69.66883419689121,9448.552538860104,0.0,0.0,24168.0310880829,21077.63638128317,-12.787118220497417,
D12_I5_N,L5N-158,MD,72,0,69.66883419689121,9448.552538860104,0.0,0.0,51523.60621761657,51976.62121278817,0.8792377483405065,
D12_I5_N,L5N-158,PM,48,0,69.66883419689121,9448.552538860104,0.0,0.0,30531.746113989637,37346.20231285914,22.31924821275492,
D12_I5_N,L5N-158,NT,132,0,69.66883419689121,9448.552538860104,0.0,0.0,38506.42393568719,53587.08061456344,39.16400210017871,
D12_I5_N,L5N-159,AM,36,0,70.00634715025907,8129.023523316062,0.0,0.0,21313.575129533678,19602.547178592315,-8.027878666730272,
D12_I5_N,L5N-159,MD,72,0,70.00634715025907,8129.023523316062,0.0,0.0,42247.331606217616,46735.17179225631,10.6227778546331,
D12_I5_N,L5N-159,PM,48,21,70.00634715025907,8129.023523316062,12046.466321243523,14173.515535601953,28114.569948186523,32223.952036691237,14.616556810500962,17.657038650475066
D12_I5_N,L5N-159,NT,132,0,70.00634715025907,8129.023523316062,0.0,0.0,35904.9451952353,45334.86987348365,26.26358187423089,
D12_I5_N,L5N-161,AM,36,14,70.8388860103627,8184.568911917098,8867.81347150259,9500.57629232415,21326.63212435233,21000.562809865005,-1.528930177939327,7.1354998935757035
D12_I5_N,L5N-161,MD,72,32,70.8388860103627,8184.568911917098,18618.487046632123,21047.60374717446,43255.191709844556,47994.98725707666,10.95774948594983,13.046799637684511
D12_I5_N,L5N-161,PM,48,48,70.8388860103627,8184.568911917098,23978.25906735751,30474.053650252612,23978.25906735751,30474.053650252612,27.090351157887298,27.090351157887298
D12_I5_N,L5N-161,NT,132,5,70.8388860103627,8184.568911917098,2623.321243523316,3379.233825020179,33330.412691629725,46780.371364328734,40.35341175381456,28.815097783511124
D12_I5_N,L5N-162,AM,36,0,68.50246113989637,7162.033367875648,0.0,0.0,17259.19689119171,18722.358388370856,8.477575789901762,
D12_I5_N,L5N-162,MD,72,11,68.50246113989637,7162.033367875648,5574.637305699482,6555.267089455148,35883.321243523314,41664.1188482049,16.109984818434206,17.59091632298797
D12_I5_N,L5N-162,PM,48,43,68.50246113989637,7162.033367875648,20052.0414507772,25604.018820246987,22304.196891191707,28578.938890469937,28.132561911503878,27.687841076423652
D12_I5_N,L5N-162,NT,132,0,68.50246113989637,7162.033367875648,0.0,0.0,24433.214651995084,42665.290798535585,74.6200465482006,
D12_I5_N,L5N-163,AM,36,13,71.42634020618554,8238.438341968911,7924.616580310882,8854.678150731415,20449.943005181347,20622.03433022752,0.841524717220836,11.736360503943114
D12_I5_N,L5N-163,MD,72,17,71.42634020618554,8238.438341968911,9428.362694300518,10601.31091606064,42467.69948186528,47202.00654100184,11.148018651583007,12.440635344556414
D12_I5_N,L5N-163,PM,48,45,71.42634020618554,8238.438341968911,22944.62176165803,25712.483697802105,24473.64248704663,27762.811012735343,13.439636243070888,12.063227561106956
D12_I5_N,L5N-163,NT,132,0,71.42634020618554,8238.438341968911,0.0,0.0,30197.867101116386,45724.804674105115,51.417331962543514,
D12_I5_N,L5N-165,AM,36,0,71.24292746113993,7642.603834196891,0.0,0.0,18407.321243523314,18082.58679690875,-1.7641591751370393,
D12_I5_N,L5N-165,MD,72,9,71.24292746113993,7642.603834196891,5082.725388601037,5643.7073464553,41004.33678756477,43101.3537340373,5.114134530054118,11.037030627552099
D12_I5_N,L5N-165,PM,48,37,71.24292746113993,7642.603834196891,20456.497409326425,22844.94141287986,26361.860103626943,29401.051399242984,11.528743736857553,11.675723149284138
D12_I5_N,L5N-165,NT,132,0,71.24292746113993,7642.603834196891,0.0,0.0,29214.862293680897,46655.30555466695,59.697160594723655,
D12_I5_N,L5N-166,AM,36,0,70.71679103680358,8035.620621761657,0.0,0.0,18388.316062176164,19471.522027557374,5.890729535638721,
D12_I5_N,L5N-166,MD,72,0,70.71679103680358,8035.620621761657,0.0,0.0,40059.52849740932,45295.441591723604,13.070331306203196,
D12_I5_N,L5N-166,PM,48,19,70.71679103680358,8035.620621761657,11917.0310880829,12605.960504665123,28772.331606217616,31513.381922741282,9.526688187937236,5.781049084206521
D12_I5_N,L5N-166,NT,132,0,70.71679103680358,8035.620621761657,0.0,0.0,28661.753699054538,46250.75633871752,61.36750327403444,
D12_I5_N,L5N-167,AM,36,0,72.02713917525774,7121.091295336787,0.0,0.0,16309.424870466319,16900.733826806478,3.625565959783917,
D12_I5_N,L5N-167,MD,72,0,72.02713917525774,7121.091295336787,0.0,0.0,36020.72538860104,38973.23418237095,8.196694436098868,
D12_I5_N,L5N-167,PM,48,0,72.02713917525774,7121.091295336787,0.0,0.0,25396.227979274612,26777.10054512006,5.437313631663544,
D12_I5_N,L5N-167,NT,132,0,72.02713917525774,7121.091295336787,0.0,0.0,25577.77992628599,38789.65110196685,51.6537057311341,
D12_I5_N,L5N-171,AM,36,0,68.93712542065062,5370.016787564767,0.0,0.0,13483.34715025907,9093.391770318829,-32.558350170906124,
D12_I5_N,L5N-171,MD,72,0,68.93712542065062,5370.016787564767,0.0,0.0,30518.38341968912,28405.723958312745,-6.922579850718366,
