link_id,date,period,bins,bins_below_cutoff,bins_below_unfiltered,cutoff_mph,capacity_vph,D_counts,D_speed,D_counts_unfiltered,D_speed_unfiltered,V_counts,V_speed
L405S-109,2025-06-18,MD,72,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,50365.0,45009.74334103668
L405S-109,2025-06-18,PM,48,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,10925.0,26337.280505026825
L405S-109,2025-06-18,NT,60,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,17994.0,24326.409246447012
L405S-109,2025-06-19,AM,36,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,28960.0,26003.474259213257
L405S-109,2025-06-19,MD,72,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,47228.0,37155.41809366467
L405S-109,2025-06-19,PM,48,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,13736.0,20684.827361618685
L405S-109,2025-06-19,NT,60,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,17775.0,29042.44087176691
L405S-109,2025-06-20,AM,36,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,28795.0,25802.629899623185
L405S-109,2025-06-20,MD,72,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,50986.0,41262.73572281707
L405S-109,2025-06-20,PM,48,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,12851.0,18397.97323444289
L405S-109,2025-06-20,NT,60,0,0,48.58,10560.0,0.0,0.0,0.0,0.0,10470.0,25748.09293408275
